Title;Primary Category 1;Secondary Category 1;Tertiary Category 1;Primary Category 2;Secondary Category 2;Tertiary Category 2;Primary Category 3;Secondary Category 3;Tertiary Category 3
Free open source communities sustainability: Does it make a difference in software quality?;collaboration and coordination;organisational structures;;software quality;code metrics;;;;
Unreproducible builds: time to fix, causes, and correlation with external ecosystem factors;software maintenance;development operations;builds;;;;;;
Design smells in multi-language systems and bug-proneness: a survival analysis;software architecture and design;patterns and anti-patterns;;software quality;defects;patterns;;;
On combining commit grouping and build skip prediction to reduce redundant continuous integration activity;software maintenance;development operations;CI/CD;software maintenance;development operations;builds;;;
A study of common bug fix patterns in Rust;software quality;defects;fixes;software quality;defects;patterns;MSR techniques;tool development;
What is an app store? The software engineering perspective;software usage;app stores;;;;;;;
A metrics-based approach for selecting among various refactoring candidates;software maintenance;refactoring;;software quality;code metrics;;;;
ROBUST: 221 bugs in the Robot Operating System;MSR techniques;dataset and benchmark creation;;software quality;patterns;;;;
Challenges and practices of deep learning model reengineering: A case study on computer vision;software architecture and design;re-design and re-engineering;;software maintenance;reuse and clones;;;;
A comprehensive analysis of challenges and strategies for software release notes on GitHub;development support and automation;generation;release note generation;;;;;;
Can we spot energy regressions using developers tests?;software quality;tests;;software quality;energy efficiency;;;;
Software development metrics: to VR or not to VR;no MSR study;;;;;;;;
IRJIT: A simple, online, information retrieval approach for just-in-time software defect prediction;software quality;defects;prediction;MSR techniques;tool development;;;;
Multi-granular software annotation using file-level weak labelling;development support and automation;generation;documentation generation;;;;;;
Does code review speed matter for practitioners?;no MSR study;;;;;;;;
Patterns of multi-container composition for service orchestration with Docker Compose;software architecture and design;patterns and anti-patterns;;;;;;;
Evaluating few-shot and contrastive learning methods for code clone detection;software maintenance;reuse and clones;;;;;;;
Challenges in software model reuse: cross application domain vs. cross modeling paradigm;no MSR study;;;;;;;;
Forecasting software indicators: an industry-academia collaboration;MSR techniques;tool development;;software quality;software maintenance;activity and productivity;;;
Studying the impact of risk assessment analytics on risk awareness and code review performance;software quality;code reviews;;;;;;;
An extensive replication study of the ABLoTS approach for bug localization;software quality;defects;localisation;;;;;;
On Refining the SZZ Algorithm with Bug Discussion Data;software quality;defects;detection;software quality;defects;fixes;;;
Governing the commons: code ownership and code-clones in large-scale software development;collaboration and coordination;;;software maintenance;reuse and clones;;;;
The downside of functional constructs: a quantitative and qualitative analysis of their fix-inducing effects;software maintenance;change patterns and evolution;;software quality;defects;fixes;;;
CloneRipples: predicting change propagation between code clone instances by graph-based deep learning;software maintenance;reuse and clones;;software maintenance;technical debt;code smells;;;
