project_name,primary_language,window_starts,window_ends,Events,NLOC,LevD,Tokens,CycC,Functions,Commits,HalEff,TS,N,E,Diam,Dens,ClustC,InD,EigG,FModR
gitextensions__gitextensions__2020-06-13_21-41-09,C#,1231705395.0,1257106995.0,3984.6,1568.0,153587.2,12948.8,210.4,66.0,30.8,17424523.20643411,5,5,1835.0,2.0,0.3,0.0,1.2,2.0000000000575113e-06,0.18259024976445923
gitextensions__gitextensions__2020-06-13_21-41-09,C#,1257106995.0,1282508595.0,2723.875,943.5,91526.75,7001.75,142.6875,50.875,33.125,10323515.407033682,16,20,8388.0,4.0,0.16578947368421051,0.6127847152847153,3.15,0.3007762256550346,0.3145477690319904
gitextensions__gitextensions__2020-06-13_21-41-09,C#,1282508595.0,1307910195.0,1535.3428571428572,481.74285714285713,46723.4,3761.5714285714284,70.57142857142857,21.2,21.142857142857142,5291846.4682583725,35,46,9803.0,4.0,0.07536231884057971,0.5765957403388821,3.391304347826087,0.20069630135607286,0.3259794583936266
gitextensions__gitextensions__2020-06-13_21-41-09,C#,1307910195.0,1333311795.0,1146.0,267.23809523809524,30683.904761904763,1961.9761904761904,41.404761904761905,15.928571428571429,13.833333333333334,3539296.5154728554,42,68,14158.0,4.0,0.06057945566286216,0.5342315807384521,4.0588235294117645,0.23993523254830984,0.2701021822034825
gitextensions__gitextensions__2020-06-13_21-41-09,C#,1333311795.0,1358713395.0,1867.8372093023256,621.0,55703.41860465116,4556.6511627906975,87.37209302325581,32.30232558139535,24.511627906976745,6173907.974932704,43,87,18008.0,4.0,0.04517508687516707,0.606400436852446,3.8850574712643677,0.366301949077503,0.20760608393881014
gitextensions__gitextensions__2020-06-13_21-41-09,C#,1358713395.0,1384114995.0,1520.1891891891892,573.9459459459459,55768.10810810811,5336.513513513513,81.97297297297297,29.7027027027027,26.81081081081081,5863915.644085083,37,77,7873.0,5.0,0.03725222146274778,0.5896800380558092,2.831168831168831,0.25956008311128453,0.19099724038194282
gitextensions__gitextensions__2020-06-13_21-41-09,C#,1384114995.0,1409516595.0,445.52941176470586,196.58823529411765,16050.529411764706,1424.235294117647,28.41176470588235,9.117647058823529,7.970588235294118,2269839.944170443,34,64,2498.0,4.0,0.03298611111111111,0.35962642319681026,2.078125,0.08171440583341394,0.21650653537695244
gitextensions__gitextensions__2020-06-13_21-41-09,C#,1409516595.0,1434918195.0,219.02380952380952,99.33333333333333,7766.833333333333,664.9047619047619,19.761904761904763,6.4523809523809526,7.023809523809524,1392004.2394841637,42,73,1261.0,5.0,0.024923896499238967,0.23498508500101364,1.7945205479452055,0.0679670611292722,0.22944749036959683
gitextensions__gitextensions__2020-06-13_21-41-09,C#,1434918195.0,1460319795.0,223.17948717948718,109.33333333333333,8431.76923076923,778.8205128205128,16.256410256410255,5.487179487179487,4.538461538461538,806084.7197067096,39,67,1036.0,3.0,0.02103120759837178,0.0938015160139831,1.3880597014925373,0.07306048816284183,0.22490353251843004
gitextensions__gitextensions__2020-06-13_21-41-09,C#,1460319795.0,1485721395.0,321.27777777777777,133.86111111111111,11940.361111111111,1043.638888888889,21.555555555555557,6.833333333333333,8.36111111111111,1501745.1986847466,36,73,2894.0,6.0,0.03215372907153729,0.30967953167792006,2.315068493150685,0.07884217565383878,0.3162487916616506
gitextensions__gitextensions__2020-06-13_21-41-09,C#,1485721395.0,1511122995.0,414.75,223.32692307692307,16079.115384615385,1504.4038461538462,32.59615384615385,12.403846153846153,8.903846153846153,2037535.2887273107,52,135,3981.0,5.0,0.01597567716970702,0.3466728536873281,2.140740740740741,0.2630704693349156,0.25870116282034583
gitextensions__gitextensions__2020-06-13_21-41-09,C#,1511122995.0,1536524595.0,2101.5208333333335,763.4166666666666,67507.5,4767.875,104.6875,43.416666666666664,38.479166666666664,6665147.471151583,48,193,24870.0,5.0,0.013843911917098446,0.5483837376253682,2.6580310880829017,0.23856382301559476,0.1922760588800649
gitextensions__gitextensions__2020-06-13_21-41-09,C#,1536524595.0,1561926195.0,726.2333333333333,364.15,27527.716666666667,2411.366666666667,46.416666666666664,20.183333333333334,14.3,2286469.6001372957,60,113,7721.0,5.0,0.025837547408343868,0.34971246997496924,2.893805309734513,0.2529825460214601,0.21857881876564383
gitextensions__gitextensions__2020-06-13_21-41-09,C#,1561926195.0,1587327795.0,557.8636363636364,276.84090909090907,21678.909090909092,1863.3636363636363,35.70454545454545,13.204545454545455,9.431818181818182,2139979.0759591935,44,124,5652.0,5.0,0.021570941515866773,0.3373566456659673,2.653225806451613,0.007851066566626708,0.2446491353894652
gitlabhq__gitlabhq__2020-06-11_10-44-27,Ruby,1334955651.0,1360357251.0,435.1011235955056,223.8876404494382,11545.76404494382,1287.741573033708,47.59550561797753,30.97752808988764,14.393258426966293,423553.9231102409,89,104,7195.0,5.0,0.029873039581777446,0.4591376517283715,3.076923076923077,0.29084440519005206,0.3961355334104144
gitlabhq__gitlabhq__2020-06-11_10-44-27,Ruby,1360357251.0,1385758851.0,307.68817204301075,172.66666666666666,8290.935483870968,981.5806451612904,38.634408602150536,25.881720430107528,13.021505376344086,329741.65764140495,93,130,4509.0,5.0,0.016756112104949313,0.36309739310950107,2.1615384615384614,0.166668500000002,0.4284924318075209
gitlabhq__gitlabhq__2020-06-11_10-44-27,Ruby,1385758851.0,1411160451.0,229.31147540983608,132.9672131147541,6503.11475409836,732.7540983606557,24.475409836065573,15.62295081967213,10.368852459016393,284795.29489719216,122,176,4260.0,5.0,0.01107142857142857,0.24840124907771965,1.9375,0.20599161194961046,0.33025155859126026
gitlabhq__gitlabhq__2020-06-11_10-44-27,Ruby,1411160451.0,1436562051.0,485.11504424778764,260.76106194690266,13122.176991150442,1408.6902654867256,47.21238938053097,30.353982300884955,16.212389380530972,523682.9573510245,113,205,11329.0,6.0,0.015853658536585366,0.48956327155780555,3.234146341463415,0.2818380882192947,0.3605414078346003
gitlabhq__gitlabhq__2020-06-11_10-44-27,Ruby,1436562051.0,1461963651.0,703.3579545454545,381.60795454545456,19785.11931818182,2150.130681818182,69.57954545454545,46.40340909090909,23.551136363636363,965689.223628676,176,281,17252.0,6.0,0.01495932892730046,0.4670748495306752,4.1886120996441285,0.021970419545748188,0.2890770017426721
